venue_name,avg_first_innings_score,total_matches,chase_win_pct,avg_wickets_per_match,spin_wicket_pct_proxy
"Arun Jaitley Stadium, Delhi",120.0,86,0.5465116279069767,10.48235294117647,0.4123620356542087
"Barabati Stadium, Cuttack",,7,0.42857142857142855,9.857142857142858,0.5852142919229748
"Barsapara Cricket Stadium, Guwahati",,2,0.0,11.5,0.5195981825434215
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,7,0.14285714285714285,12.142857142857142,0.47959754525911097
"Brabourne Stadium, Mumbai",115.33333333333333,27,0.48148148148148145,11.296296296296296,0.34680559213273093
"Buffalo Park, East London",116.0,3,0.3333333333333333,11.333333333333334,0.3467983561008608
"Diamond Oval, Kimberley",,3,0.6666666666666666,10.666666666666666,0.31742508365045985
"Dr DY Patil Sports Academy, Mumbai",92.5,17,0.5882352941176471,11.705882352941176,0.5598528437324806
"Dr DY Patil Sports Academy, Navi Mumbai",139.5,20,0.5,12.0,0.4803345035229626
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,13,0.5384615384615384,11.846153846153847,0.5124217733388137
Dubai International Cricket Stadium,185.0,46,0.5,10.869565217391305,0.3061753482887407
"Eden Gardens, Kolkata",115.0,88,0.5795454545454546,10.313953488372093,0.5909729556485983
"Green Park, Kanpur",154.0,4,1.0,10.75,0.5497327922401265
"Himachal Pradesh Cricket Association Stadium, Dharamsala",,11,0.5454545454545454,11.0,0.3637017332034828
"Holkar Cricket Stadium, Indore",92.5,9,0.8888888888888888,9.333333333333334,0.35454749016213016
"JSCA International Stadium Complex, Ranchi",,7,0.7142857142857143,10.142857142857142,0.35502135295603016
"Kingsmead, Durban",129.0,16,0.4375,11.866666666666667,0.3912726728878613
"M.Chinnaswamy Stadium, Bengaluru",131.875,90,0.5555555555555556,10.528735632183908,0.45742692948967134
"MA Chidambaram Stadium, Chepauk, Chennai",113.5,76,0.40789473684210525,10.921052631578947,0.4295835055926347
"Maharashtra Cricket Association Stadium, Pune",129.0,51,0.45098039215686275,10.803921568627452,0.3873687420594126
"Mangaung Oval, Bloemfontein",,2,0.5,12.0,0.48355586841671383
"Narendra Modi Stadium, Motera, Ahmedabad",,16,0.5625,11.4375,0.34184815819561254
"Nehru Stadium, Kochi",,5,0.4,11.0,0.3876433945605654
"Newlands, Cape Town",101.0,8,0.375,11.571428571428571,0.40990855298810747
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",123.4,61,0.5573770491803278,10.39344262295082,0.43682099526511076
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",126.0,71,0.5633802816901409,10.619718309859154,0.5355527884179041
"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",,12,0.5,9.833333333333334,0.3599021346475079
"Saurashtra Cricket Association Stadium, Rajkot",154.0,10,0.7,9.7,0.45427033152408347
"Sawai Mansingh Stadium, Jaipur",115.0,52,0.6538461538461539,9.846153846153847,0.47772437065861273
"Shaheed Veer Narayan Singh International Stadium, Raipur",,6,0.6666666666666666,9.0,0.3139351238159993
Sharjah Cricket Stadium,,28,0.6428571428571429,10.857142857142858,0.4822634555704315
"Sheikh Zayed Stadium, Abu Dhabi",109.66666666666667,37,0.6216216216216216,10.594594594594595,0.35115723710618746
"St George's Park, Port Elizabeth",,7,0.5714285714285714,9.857142857142858,0.3195154778955838
"SuperSport Park, Centurion",105.0,12,0.6666666666666666,9.75,0.5846656611759999
"The Wanderers Stadium, Johannesburg",163.0,8,0.625,10.75,0.5896896099223679
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",159.0,3,0.3333333333333333,14.333333333333334,0.5425192044349383
"Wankhede Stadium, Mumbai",112.75,111,0.5405405405405406,11.072072072072071,0.3913841307520112
